ID,GID,GNAME,SOUNDBITE,DESCRIPTION,NOTES,KEYWORDS,RANK,LEVEL
1,0,_Intro,"Introductory remarks, I","THIS document is really: a _primer_, elementary instructions about _how to write_, whose audience is ME, the ego ""I"", the one trying to make sense of inscrutable existence, often overwhelmed by anxietry and dread, who finds that _writing poetry_ is a WAY OUT of paralyzed silence.","WE (!) are keeping the ""Manifesto"" in the title because we like the energy, the confidence, and the appeal to a community, even imaginary, beyond the singular I. Also manifestoes push back against a complacent (political, normative) oppressive hegemony.","{primer, identity, community, liberation, anger, politics}",9,1
2,0,_Intro,"Introductory remarks, I ... I","Specifically, ""how to write"" means 1) how to generate material, get words down on the page or screen, 2) how to revise the material into that elusive phenomenon, that living entity, a _poem_.",Writing in this sense is the interplay between what is and what could be.,"{process, creation, the_third}",9,2
3,0,_Intro,"Introductory remarks, I ... I ... I","Generally there is an oscillation between two positions: 1) something relatively clear, articulated, grounded, and 2) something that emerges in contradistinction to that articulation.","Sometimes the two conflict, sometimes coorperate, sometimes lead to a ""third"" entity composed of terms like transcendent, ineffable, _other_. Anyone for four? Eleven?","{process, creation, the_third, otherness, transcendence}",9,4
4,0,_Intro,"Introductory remarks, I and I","Finally, the concept of identity plays a large role here, trying to answer the question, okay, I'm a White Cis-Male Hetero / Neurodiverse / Etc.; how does that ""identity"" affect how I write?","And with identity comes community, which while hidden here in a note, seems to be _everything_. See also the About page on my related site, <a href='http://exultoshores.com/about>exultoshores.com</a>.<br><br>This is a way to ground my abstractions in the material (an abstract way to say, to _make it real_).","{identity, wcmh, community}",9,3
5,5,Generate Material,Free Write,"Try freewriting, recording whatever comes up, as if in a trance or dream; listen and repeat.","Absolutely without censoring; suspend evaluation, save it for later. A certain amount of ""control"" is inevitable; try to make it more a direction/orientation than a goal.<br><br>This process can be collaboration between oppression and liberation. It's also about getting under anxiety, keeping it at bay.","{creation, process, oppression, liberation, anxiety}",9,1
6,5,Generate Material,Record Perception,"Try finding material--words but also images, or anything--wherever you look. Your job is to record.","Unmediated perception (probably an oxymoron) is the goal of meditation; just write while it is happening.<br><br>Follow your nose (an aphorism). Or use a framework or ""engine."" [link]","{creation, the_body}",7,2
7,5,Generate Material,Generate Material,"How does something come out of nothing? It doesn't matter. Whatever works, for you.","Whatever appears _reenacts_ the fundamental existential question, so you are going to be an existentialist, whether you like it or not.",{creation},6,3
8,5,Generate Material,Research the Consequences of Diction,Love Wikipedia. Addiction in the service of knowledge is not a vice.,Knowledge is good.,"{history, research}",5,4
9,10,Articulate Identity,"""I"" is for ""Identity""","The ""I"" has a position. What is it? It WILL show in the poem whether you want it to or not.","Uncovering and interrogating assumptions, articulating reasons behind activities.","{identity, positioning, research, mining, accepting, history, truth}",8,1
10,11,Articulate Identity,"""I"" is for ""Community""","Whoever you think you are, there are others like you. Who are they?",Who were you brought up to be? Who would you like to be?,"{identity, community}",6,1
